Date1,Open1,Date2,Open2
1,25641.68945,1,25641.68945
2,25152.44922,2,25152.44922
3,25512.42969,3,25512.42969
4,25879.38086,4,25879.38086
5,25936.44922,5,25936.44922
6,25996.08008,6,25996.08008
7,26172.00977,7,26172.00977
8,25950.06055,8,25950.06055
9,26094.91992,9,26094.91992
10,25690.34961,10,25690.34961
11,26225.07031,11,26225.07031
12,26044.16992,12,26044.16992
13,27009.81055,13,27009.81055
14,26746.57031,14,26746.57031
15,26774.61914,15,26774.61914
16,26660.28906,16,26660.28906
17,26833.14063,17,26833.14063
18,26824.56055,18,26824.56055
19,26955.9707,19,26955.9707
20,26533.41016,20,26533.41016
21,26447.66992,21,26447.66992
22,26529.44922,22,26529.44922
23,26388.43945,23,26388.43945
24,26367.41992,24,26367.41992
25,26409.33008,25,26409.33008
26,26542.32031,26,26542.32031
27,26664.60938,27,26664.60938
28,26924.7793,28,26924.7793
29,27170.82031,29,27170.82031
30,27321.67969,30,27321.67969
31,27488.21094,,
32,27961.64063,,
33,27860.24023,,
34,27922.50977,,
35,27828.92969,,
36,27970.05078,,
37,27853.48047,,
38,27811.25977,,
39,27622.67969,,
40,27758.13086,,
41,28077.58008,,
42,28347.41992,,
43,28257.88086,,
44,28384.07031,,
45,28601.28906,,
46,28643.66016,,
47,28439.60938,,
48,28736.78906,,
49,29090.69922,,
50,28341.05078,,
51,27925.23047,,
52,27711.71094,,
53,28022.50977,,
54,27613.85938,,
55,27718.74023,,
56,28139.75977,,
57,28031.68945,,
58,27834.17969,,
59,27864.86914,,
60,27484.71094,,
61,27170.33984,,
62,27413.59961,,
63,26716.08984,,
64,26694.50977,,
